1|A Bica de dentro||The Bica do Duarte Belo street is famous among natives and foreigners because it is the tourism point where we can find the tram elevator ('Elevador (ou Ascensor) da Bica'). From inside the tram, we can see the residents and the merchants, calmly going about their lives, under the curious looks of those who are watching that old little centenary box, going up and down since 1892.  On the other hand, the tram street at night is a lively and diverse meeting point, where we can hear diverse kinds of music, people laughing and having fun under the Lisbon moon.  The tram Elevator ('o elevador da Bica') is a captivating site, as I pass by it every day on my way to work.\n|Life event;;Architecture||||||||||||user1||user2;;user4|true|3||
2|Look at Life||Symbol of D. Luis I's abolition of the death penalty in 1867, Dom Luis I Square is an invite to toast to life. With a robust florestation, it remits to life, to the humanization of the living beings and to the joy of living.\n|Historic event;;Nature||||||||||||user1||user4|true|3||
3|From rejection, to Majesty||Those who pass by the neighbourhoods of Saint Anthony ('Santo António'') or the new avenues ('Avenidas Novas') could think that the major attractions here are Marquês de Pombal Square (roundabout) or Eduardo VII Park. For me, the real attraction is the Amália Rodrigues Garden, which represents the 'queen of Fado'. Queen? Only after having detached her image from the fascist regime, and singing the the great hymn for the carnations's revolution: 'Grândola Vila Morena' from Zeca Alfonso. A place full of history!\n|Historic event||||||||||||user1||user4|true|3||
4|GentrificAtion||Lisbon keeps secret beauties\nin her narrow streets.\nThe walls scream\nfull of mute activism.\nFrom outside we see people\nFrom the inside we see action\nBefore gentrificAtion, we claim for habitAtion.\n|Human & civil rights;;Architecture||||||||||||user1||user2|true|3||
5|A Graça de S. Vicente||The Cerca da Graça garden is located in the old neighbourhood of Graça, which in the 19th century integrated the extinct neighbourhoods of Saint Andrew ('Santo Andr´3') and Santa Marinha. But if today (since 2013) it is all considered Saint Vicente's ('São Vicente') neighbourhood, we can also say that it is part of Mouraria, whose neighbourhood Santa Maria Maior already integrated from its side, three of four further neighbourhoods. Isn't it charming? One that gives origins to the other, which is part of another, who integrated two more, or three or four. And so we see the day pass by from one of the highest 'Lisbon greatnesses'. And who knows that with the passing of time, the seven hills will turn into one.\n|Historic event;;Nature||||||||||||user1||user4;;user5|true|3||
6|Ri Beira||A work of art sown in skyin a bright afternoon\nPicture that illustrates a trophy\nat the back of this picture that seems as if it was painted Lisbon of charm and grace\nRi beiranear the banks of the Tejo river\n|Food;;Life event||||||||||||user1||user3|true|3||
7|Women in Lisbon: statue of Fernanda do Vale||Andresa Nascimento was born in Cape Verde, and came to live in Portugal where she changed her name to Fernanda do Vale. Independent woman and influential near the elites. There is a statue of her in D. Luis square, near the rivers' Market (\"Mercado da Ribeira\").|Gender;;Art||||||||||||user2|||true|3||
8|A Varina Statue||The \"Varinas\", seen as strong women, accustomed to the hard work in the country and in the fishing, become typical characters of Lisbon. The Varina statue, sculpted by the sculptor José Laranjera Santos, in 1965, is located in North Square (\"Praça do Norte\") in Encarnação.|Gender;;Art||||||||||||user2||user4|true|3||
9|Women of Lisbon||Lisbon's women (1994). Sculptures of women, a permanent display in the metro of Campo Pequeno. An homage to women and their occupations, because women always occupied different roles simultaneously, having as a backdrop, different realities according to the era, country, religion, and culture.|Gender;;Art||||||||||||user2||user2;;user4|true|3||
10|Batuceiras women Mural||The batucadeiras women from Cape Verde play, dance and sing, transmitting traditional music, which is learned through imitation and oral transmission. Originally from Santiago Island, they have been showing their music style throughout the world.|Music and dance;;Gender||||||||||||user2||user1|true|3||
